Euler Implicito Punto C4.txt
SOLUCION PARA EULER IMPLICITO 
Paso = 1.00
Año: 1
U0 = 1.260000  T = 0.0  MES = 1.0
U68 = 3.053455  T = 68.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U69 = 2.836487  T = 69.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U70 = 2.651302  T = 70.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U71 = 2.493052  T = 71.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 7
U72 = 2.729551  T = 72.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U73 = 2.580991  T = 73.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U74 = 2.455126  T = 74.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U75 = 2.348405  T = 75.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U76 = 2.257802  T = 76.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U77 = 2.180790  T = 77.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U78 = 3.606992  T = 78.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U79 = 3.306497  T = 79.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U80 = 3.051147  T = 80.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U81 = 2.833681  T = 81.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U82 = 2.648178  T = 82.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U83 = 2.489743  T = 83.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 8
U84 = 2.727191  T = 84.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U85 = 2.577431  T = 85.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U86 = 2.450791  T = 86.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U87 = 2.343612  T = 87.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U88 = 2.252777  T = 88.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U89 = 2.175691  T = 89.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U90 = 3.606477  T = 90.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U91 = 3.304905  T = 91.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U92 = 3.048812  T = 92.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U93 = 2.830849  T = 93.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U94 = 2.645030  T = 94.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U95 = 2.486412  T = 95.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 9
U96 = 2.724822  T = 96.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U97 = 2.573849  T = 97.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U98 = 2.446429  T = 98.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
